CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT,MEDV
8.49213,0.00 1,8.1,0 0,.5840 6,.3480 8,6.1,2.0527 2,4,666,20.2,83.45 17,.64 1,4.5
10.0623,0,18.1,0,0.584,6.833,94.3,2.0882,24,666,20.2,81.33 1,9.69,14.1
6.44405,0.00 1,8.1,0 0,.5840 6,.4250 7,4.8,2.2004 2,4,666,20.2,97.95 12,.03 1,6.1
5.58107,0.00 1,8.1,0 0,.7130 6,.4360 8,7.9,2.3158 2,4,666,20.2,100.19 1,6.22,14.3
13.9134,0,18.1,0,0.713,6.208,95,2.2222,24,666,20.2,100.63,15.17,11.7
11.1604,0,18.1,0,0.74,6.629,94.6,2.1247,24,666,20.2,109.85,23.27,13.4
14.4208,0,18.1,0,0.74,6.461,93.3,2.0026,24,666,20.2,27.49 1,8.05,9.6
15.1772,0,18.1,0,0.74,6.152,100,0 1.9142,2,4 666.,0 20.2,0 9.32 2,6.45,8.7
13.6781,0,18.1,0,0.74,5.935,87.9,1.8206,24,666,20.2,68.95 3,4.02,8.4
9.39063,0.00 1,8.1,0 0,.7400 5,.6270 9,3.9,1.8172 2,4,666,20.2,396.90 2,2.88,12.8
22.0511,0,18.1,0,0.74,5.818,92.4,1.8662,24,666,20.2,391.45,22.11,10.5
9.72418,0.00 1,8.1,0 0,.7400 6,.4060 9,7.2,2.0651 2,4,666,20.2,385.96 1,9.52,17.1
5.66637,0.00 1,8.1,0 0,.7400 6,.2190 1,0,2.0048,24,666,20.2,395.69,16.59,18.4
9.96654,0.00 1,8.1,0 0,.7400 6,.4850 1,0,1.9784,24,666,20.2,386.73,18.85,15.4
12.8023,0,18.1,0,0.74,5.854,96.6,1.8956,24,666,20.2,240.52,23.79,10.8
10.6718,0,18.1,0,0.74,6.459,94.8,1.9879,24,666,20.2,43.06 2,3.98,11.8
6.28807,0.00 1,8.1,0 0,.7400 6,.3410 9,6.4,2.0720 2,4,666,20.2,318.01 1,7.79,14.9
9.92485,0.00 1,8.1,0 0,.7400 6,.2510 9,6.6,2.1980 2,4,666,20.2,388.52 1,6.44,12.6
9.32909,0.00 1,8.1,0 0,.7130 6,.1850 9,8.7,2.2616 2,4,666,20.2,396.90 1,8.13,14.1
7.52601,0.00 1,8.1,0 0,.7130 6,.4170 9,8.3,2.1850 2,4,666,20.2,304.21 1,9.31,13
6.71772,0.00 1,8.1,0 0,.7130 6,.7490 9,2.6,2.3236 2,4,666,20.2,0.32 17.,44 13,0.4
5.44114,0.00 1,8.1,0 0,.7130 6,.6550 9,8.2,2.3552 2,4,666,20.2,355.29 1,7.73,15.2
5.09017,0.00 1,8.1,0 0,.7130 6,.2970 9,1.8,2.3682 2,4,666,20.2,385.09 1,7.27,16.1
8.24809,0.00 1,8.1,0 0,.7130 7,.3930 9,9.3,2.4527 2,4,666,20.2,375.87 1,6.74,17.8
9.51363,0.00 1,8.1,0 0,.7130 6,.7280 9,4.1,2.4961 2,4,666,20.2,6.68 18.,71 14,0.9
4.75237,0.00 1,8.1,0 0,.7130 6,.5250 8,6.5,2.4358 2,4,666,20.2,50.92 18,.13 1,4.1
4.66883,0.00 1,8.1,0 0,.7130 5,.9760 8,7.9,2.5806 2,4,666,20.2,10.48 19,.01 1,2.7
8.20058,0.00 1,8.1,0 0,.7130 5,.9360 8,0.3,2.7792 2,4,666,20.2,3.50 16.,94 13,0.5
7.75223,0.00 1,8.1,0 0,.7130 6,.3010 8,3.7,2.7831 2,4,666,20.2,272.21 1,6.23,14.9
6.80117,0.00 1,8.1,0 0,.7130 6,.0810 8,4.4,2.7175 2,4,666,20.2,396.90 1,4.7,20
4.81213,0.00 1,8.1,0 0,.7130 6,.7010 9,0,2.5975 2,4,666,20.2,255.23 1,6.42,16.4
3.69311,0.00 1,8.1,0 0,.7130 6,.3760 8,8.4,2.5671 2,4,666,20.2,391.43 1,4.65,17.7
6.65492,0.00 1,8.1,0 0,.7130 6,.3170 8,3,2.7344 2,4,666,20.2,396.90 1,3.99,19.5
5.82115,0.00 1,8.1,0 0,.7130 6,.5130 8,9.9,2.8016 2,4,666,20.2,393.82 1,0.29,20.2
7.83932,0.00 1,8.1,0 0,.6550 6,.2090 6,5.4,2.9634 2,4,666,20.2,396.90 1,3.22,21.4
3.1636,0.00 1,8.1,0 0,.6550 5,.7590 4,8.2,3.0665 2,4,666,20.2,334.40 1,4.13,19.9
3.77498,0.00 1,8.1,0 0,.6550 5,.9520 8,4.7,2.8715 2,4,666,20.2,22.01 17,.15 1,9
4.42228,0.00 1,8.1,0 0,.5840 6,.0030 9,4.5,2.5403 2,4,666,20.2,331.29 2,1.32,19.1
15.5757,0,18.1,0,0.58,5.926,71,2.9084,24,666,20.2,368.74,18.13,19.1
13.0751,0,18.1,0,0.58,5.713,56.7,2.8237,24,666,20.2,396.9,14.76,20.1
4.34879,0.00 1,8.1,0 0,.5800 6,.1670 8,4,3.0334 2,4,666,20.2,396.90 1,6.29,19.9
4.03841,0.00 1,8.1,0 0,.5320 6,.2290 9,0.7,3.0993 2,4,666,20.2,395.33 1,2.87,19.6
3.56868,0.00 1,8.1,0 0,.5800 6,.4370 7,5,2.8965 2,4,666,20.2,393.37 1,4.36,23.2
4.64689,0.00 1,8.1,0 0,.6140 6,.9800 6,7.6,2.5329 2,4,666,20.2,374.68 1,1.66,29.8
8.05579,0.00 1,8.1,0 0,.5840 5,.4270 9,5.4,2.4298 2,4,666,20.2,352.58 1,8.14,13.8
6.39312,0.00 1,8.1,0 0,.5840 6,.1620 9,7.4,2.2060 2,4,666,20.2,302.76 2,4.1,13.3
4.87141,0.00 1,8.1,0 0,.6140 6,.4840 9,3.6,2.3053 2,4,666,20.2,396.21 1,8.68,16.7
15.0234,0,18.1,0,0.614,5.304,97.3,2.1007,24,666,20.2,349.48,24.91,12
10.233,0,18.1,0,0.614,6.185,96.7,2.1705,24,666,20.2,379.7,18.03,14.6
14.3337,0,18.1,0,0.614,6.229,88,1.9512,24,666,20.2,383.32,13.11,21.4
5.82401,0.00 1,8.1,0 0,.5320 6,.2420 6,4.7,3.4242 2,4,666,20.2,396.90 1,0.74,23
5.70818,0.00 1,8.1,0 0,.5320 6,.7500 7,4.9,3.3317 2,4,666,20.2,393.07 7,.74 2,3.7
5.73116,0.00 1,8.1,0 0,.5320 7,.0610 7,7,3.4106 2,4,666,20.2,395.28 7,.01 2,5
2.81838,0.00 1,8.1,0 0,.5320 5,.7620 4,0.3,4.0983 2,4,666,20.2,392.92 1,0.42,21.8
2.37857,0.00 1,8.1,0 0,.5830 5,.8710 4,1.9,3.7240 2,4,666,20.2,370.73 1,3.34,20.6
3.67367,0.00 1,8.1,0 0,.5830 6,.3120 5,1.9,3.9917 2,4,666,20.2,388.62 1,0.58,21.2
5.69175,0.00 1,8.1,0 0,.5830 6,.1140 7,9.8,3.5459 2,4,666,20.2,392.68 1,4.98,19.1
4.83567,0.00 1,8.1,0 0,.5830 5,.9050 5,3.2,3.1523 2,4,666,20.2,388.22 1,1.45,20.6
0.15086,0.00 2,7.74,0 0,.6090 5,.4540 9,2.7,1.8209 4,7,11.0 2,0.10 3,95.09 18,.06 1,5.2
0.18337,0.00 2,7.74,0 0,.6090 5,.4140 9,8.3,1.7554 4,7,11.0 2,0.10 3,44.05 23,.97 7,0
0.20746,0.00 2,7.74,0 0,.6090 5,.0930 9,8,1.8226 4,7,11.0 2,0.10 3,18.43 29,.68 8,0.1
0.10574,0.00 2,7.74,0 0,.6090 5,.9830 9,8.8,1.8681 4,7,11.0 2,0.10 3,90.11 18,.07 1,3.6
0.11132,0.00 2,7.74,0 0,.6090 5,.9830 8,3.5,2.1099 4,7,11.0 2,0.10 3,96.90 13,.35 2,0.1
0.17331,0.00 9,.690 0,0,5850 5.,7070 54,.00 2,.3817 6,39,1.0 19,.20 39,6.90 12.,01 21,0.8
0.27957,0.00 9,.690 0,0,5850 5.,9260 42,.60 2,.3817 6,39,1.0 19,.20 39,6.90 13.,59 24,0.5
0.17899,0.00 9,.690 0,0,5850 5.,6700 28,.80 2,.7986 6,39,1.0 19,.20 39,3.29 17.,60 23,0.1
0.2896,0.00 9,.690 0,0,5850 5.,3900 72,.90 2,.7986 6,39,1.0 19,.20 39,6.90 21.,14 19,0.7
0.26838,0.00 9,.690 0,0,5850 5.,7940 70,.60 2,.8927 6,39,1.0 19,.20 39,6.90 14.,10 18,0.3
0.23912,0.00 9,.690 0,0,5850 6.,0190 65,.30 2,.4091 6,39,1.0 19,.20 39,6.90 12.,92 21,0.2
0.17783,0.00 9,.690 0,0,5850 5.,5690 73,.50 2,.3999 6,39,1.0 19,.20 39,5.77 15.,10 17,0.5
0.22438,0.00 9,.690 0,0,5850 6.,0270 79,.70 2,.4982 6,39,1.0 19,.20 39,6.90 14.,33 16,0.8
0.06263,0.00 1,1.93,0 0,.5730 6,.5930 6,9.1,2.4786 1,2,73.0 2,1.00 3,91.99 9.,67 22,0.4
0.04527,0.00 1,1.93,0 0,.5730 6,.1200 7,6.7,2.2875 1,2,73.0 2,1.00 3,96.90 9.,08 20,0.6
0.06076,0.00 1,1.93,0 0,.5730 6,.9760 9,1,2.1675 1,2,73.0 2,1.00 3,96.90 5.,64 23,0.9
0.10959,0.00 1,1.93,0 0,.5730 6,.7940 8,9.3,2.3889 1,2,73.0 2,1.00 3,93.45 6.,48 22,0
0.04741,0.00 1,1.93,0 0,.5730 6,.0300 8,0.8,2.5050 1,2,73.0 2,1.00 3,96.90 7.,88 11,0.9
